City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
84,Saint-Pierre,20,RE,1580932172,83,-21.34,55.48,78.8,14.99
85,Portland,90,US,1580931971,87,45.52,-122.68,48.2,11.41
86,Bethel,90,US,1580932174,40,41.37,-73.41,43.0,10.29
87,Inta,100,RU,1580932175,97,66.03,60.17,-2.92,5.73
88,Norman Wells,75,CA,1580932176,70,65.28,-126.83,-5.8,8.05
89,Chapais,40,CA,1580932177,55,49.78,-74.85,6.8,13.87
90,Askino,100,RU,1580932179,94,56.09,56.58,18.19,13.53
91,Brae,44,GB,1580932180,81,60.4,-1.35,46.4,16.11
92,Amol,0,IR,1580932181,66,36.47,52.35,50.45,3.83
93,Mossamedes,100,AO,1580932182,88,-15.2,12.15,73.56,13.2
94,Elko,90,US,1580931946,50,41.0,-115.5,32.0,17.22
95,Wajima,100,JP,1580932186,80,37.4,136.9,29.57,27.83
96,Merauke,100,ID,1580932188,93,-8.47,140.33,75.9,3.33
97,San Teodoro,94,PH,1580932189,91,13.44,121.02,75.99,1.99
98,Huamachuco,100,PE,1580932190,91,-7.8,-78.07,49.66,7.96
99,Eureka,90,US,1580932192,81,40.8,-124.16,55.99,9.17
100,Mahudha,0,IN,1580932193,39,22.82,72.93,64.4,6.93
101,Saint George,1,US,1580932194,34,37.1,-113.58,39.0,3.36
102,Saskylakh,0,RU,1580932195,93,71.92,114.08,-27.56,14.07
103,Khatanga,100,RU,1580932196,96,71.97,102.5,-10.89,9.31
104,Russell,90,US,1580931928,73,32.35,-85.2,71.6,6.93
105,General Jose Eduvigis Diaz,95,PY,1580932199,55,-27.17,-58.42,93.99,4.0
106,Tessalit,67,ML,1580932200,12,20.2,1.01,73.06,10.0
107,Mataura,70,NZ,1580932201,88,-46.19,168.86,52.0,7.0
108,Bluff,82,NZ,1580932203,88,-46.6,168.33,52.0,7.0
109,Chokurdakh,99,RU,1580932204,99,70.63,147.92,-27.89,3.65
110,Port Lincoln,0,AU,1580932205,84,-34.73,135.87,62.76,10.65
111,Esperance,0,AU,1580932206,77,-33.87,121.9,62.6,12.75
112,Mon,79,IN,1580932207,91,26.75,95.1,44.35,2.39
113,Klaksvik,75,FO,1580932209,93,62.23,-6.59,44.6,9.17
114,Kapaa,90,US,1580932115,94,22.08,-159.32,69.8,11.41
115,Vung Tau,33,VN,1580932211,68,10.35,107.08,71.42,11.74
116,Kainantu,75,PG,1580932212,95,-6.29,145.87,59.29,5.3
117,Mananjary,0,MG,1580932213,77,-21.22,48.33,79.0,7.45
118,Namatanai,100,PG,1580932215,75,-3.67,152.43,82.99,7.0
119,Pevek,100,RU,1580932216,99,69.7,170.31,-29.7,1.97
120,Cockburn Town,75,TC,1580932066,74,21.46,-71.14,78.8,16.11
121,Mudon,0,MM,1580932219,73,16.26,97.72,67.96,4.41
